item,sku,category,unit,count_unit,conversion_factor,pack_size,pack_kind,current_unit,current_count_unit,latest_cost_cents
NUESTRA SOLEDAD LACHIGUI 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,9772
NUESTRA SOLEDAD SAN BALTAZAR 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8883
NUESTRA SOLEDAD SAN LUIS DEL RIO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8883
NUESTRA SOLEDAD SANTIAGO MATATLAN 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8550
NV Laurent Perrier Brut Rose (Case of 6),,Wine — Sparkling,case,bottle,6,6,case,ml,,77916
NV Laurent Perrier La Cuvee (Case of 6),,Wine — Sparkling,case,bottle,6,6,case,ml,,38604
NV Serenello Prosecco (Case of 6),,Wine — Sparkling,case,bottle,6,6,case,ml,,8500
OIL OLIVE POMACE 4L (Trading),,Oils & Condiments,each,each,1,,,l,,2600
OIL OLIVE PURE 4L (Zeno) EA,,Oils & Condiments,each,each,1,,each,l,,6200
OLD FORESTER 700ML BOTTLE,,Spirits — Other,bottle,bottle,1,,,ml,,4998
OLIVES PITTED GREEN 2KG (Riviana) EA (6),,Oils & Condiments,each,each,1,,each,kg,,1950
PALM HEART JAR 400GM (Latin Deli) EA (24),,Oils & Condiments,each,each,1,,each,g,,600
PAPRIKA SMOKED 500GM (Galaxy) EA,,Herbs & Spices,each,each,1,,each,g,,1200
PARMESAN GRANA WEDGE 14 X 200GM (Zanetti) CTN,,Dairy & Eggs,case,each,14,14,case,g,,11600
PASOTE BLANCO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,12439
PATRON ANEJO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,9071
PATRON EL CIELO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,14319
PATRON REPOSADO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,7441
PATRON SILVER 700 ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,6787
PATRON XO CAFE 700ML BOTTLE,,Liqueurs & Aperitifs,bottle,bottle,1,,,ml,,8766
Paxton 'Elizabeth Jean' Shiraz,,Wine — Red,bottle,bottle,1,,,ml,,7160
PEANUTS ROASTED SALTED 1KG (Galaxy) EA (12),,Dry / Pantry,each,each,1,,each,kg,,800
"PEPITAS, PUMPKIN SEED 1KG (Galaxy) EA (12)",,Produce,each,each,1,,each,g,,1200
PEPPER BLACK CRACKED RESTAURANT 400GM (Windsor Farm) EA,,Herbs & Spices,each,each,1,,each,g,,1400
PEPPER CORNS BLACK WHOLE 500GM (Windsor Farm) EA,,Herbs & Spices,each,each,1,,each,g,,1550
PISTACHIO NUT KERNAL 1KG (Natures Secret) EA (12),,Dry / Pantry,each,each,1,,each,kg,,4450
PISTACHIO PASTE 1KG EA,,Desserts & Sweets,each,each,1,,each,kg,,12600
POLENTA 1KG (Galaxy) EA (12),,Dry / Pantry,each,each,1,,each,kg,,350
Pol Roger Brut Rose,,Wine — Sparkling,bottle,bottle,1,,,ml,,16500
Potatoes Cocktail Kg,,Produce,kg,kg,1,,,kg,,550
QUIQUIRIQUI 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,7859
Radish Bunch,,Produce,bunch,bunch,1,,,g,,283
Rockford 'Basket Press' Shiraz 2004,,Wine — Red,bottle,bottle,1,,,ml,,32500
Rockford Basket Press Shiraz 2017,,Wine — Red,bottle,bottle,1,,,ml,,18500
Rockford Basket Press Shiraz 2018,,Wine — Red,bottle,bottle,1,,,ml,,21000
RON SANTIAGO DE CUBA BLANCA 700ML BOTTLE,,Spirits — Other,bottle,bottle,1,,,ml,,4650
ROSE WATER 330ML,,Non-Alcoholic & Mixers,bottle,bottle,1,,,ml,,495
ROSSO ANTICO 750ML BOTTLE,,Liqueurs & Aperitifs,bottle,bottle,1,,,ml,,2069
